company,code,market_cap
Thales,HO.PA,$31.11 B
Cenovus Energy,CVE,$31.11 B
Orange,ORAN,$31.07 B
Coca-Cola European Partners,CCEP,$31.07 B
Naspers,NPSNY,$31.05 B
GlobalFoundries,GFS,$30.95 B
Amadeus IT Group,AMS.MC,$30.94 B
Royal Caribbean,RCL,$30.84 B
PSEG,PEG,$30.80 B
Flutter Entertainment,PPBA.F,$30.79 B
Lonza,LONN.SW,$30.64 B
Goodman Group,GMG.AX,$30.60 B
Ingersoll Rand,IR,$30.60 B
Barrick Gold,GOLD,$30.54 B
Great-West Lifeco,GWO.TO,$30.50 B
DMart,DMART.NS,$30.50 B
Telstra,TLS.AX,$30.47 B
Renesas Electronics,6723.T,$30.45 B
Woolworths Group,WOW.AX,$30.39 B
Daimler Truck,DTG.F,$30.31 B
Barclays,BCS,$30.29 B
Martin Marietta,MLM,$30.19 B
Ansys,ANSS,$30.18 B
Vestas Wind Systems,VWS.CO,$30.18 B
Ashtead,AHT.L,$30.13 B
Sun Life Financial,SLF,$30.09 B
Chunghwa Telecom,CHT,$30.03 B
Sun Hung Kai Properties,0016.HK,$30.02 B
Prudential,PUK,$29.97 B
Veeva Systems,VEEV,$29.96 B
Loblaw Companies,L.TO,$29.88 B
Dollar Tree,DLTR,$29.87 B
Dollar General,DG,$29.83 B
East Money Information,300059.SZ,$29.81 B
HP,HPQ,$29.56 B
Singtel,Z74.SI,$29.55 B
Devon Energy,DVN,$29.44 B
Hannover Rück,HNR1.DE,$29.39 B
PTT PCL,PTT-R.BK,$29.39 B
Japan Post Holdings,6178.T,$29.35 B
Vulcan Materials,VMC,$29.31 B
Mitsubishi Electric,6503.T,$29.20 B
Jardine Matheson,J36.SI,$29.19 B
Adani Ports & SEZ,ADANIPORTS.NS,$29.16 B
Equifax,EFX,$29.15 B
Quanta Services,PWR,$29.08 B
WuXi AppTec,2359.HK,$29.07 B
Arch Capital,ACGL,$29.06 B
CDW Corporation,CDW,$28.99 B
SMIC,0981.HK,$28.91 B
Skandinaviska Enskilda Banken,SEB-A.ST,$28.91 B
3i Group,III.L,$28.88 B
CITIC limited,0267.HK,$28.80 B
Naturgy,NTGY.MC,$28.79 B
China Pacific Insurance,601601.SS,$28.73 B
Wipro,WIT,$28.59 B
Coal India,COALINDIA.NS,$28.50 B
Kuaishou Technology,1024.HK,$28.49 B
Deutsche Bank,DB,$28.33 B
Ahold Delhaize,AD.AS,$28.25 B
Transurban,TCL.AX,$28.23 B
Diamondback Energy,FANG,$28.14 B
Chocoladefabriken Lindt & Sprüngli,LISP.SW,$28.12 B
Ryanair,RYAAY,$28.11 B
H&M,HM-B.ST,$27.98 B
Fujitsu,6702.T,$27.94 B
Kia,000270.KS,$27.93 B
Bridgestone,5108.T,$27.89 B
Coupang,CPNG,$27.81 B
Foshan Haitian Flavouring and Food,603288.SS,$27.81 B
KBC,KBCSF,$27.77 B
China State Construction Engineering,601668.SS,$27.75 B
FICO,FICO,$27.72 B
Edison International,EIX,$27.72 B
Banorte,GFNORTEO.MX,$27.69 B
Discover Financial Services,DFS,$27.64 B
Bank of China (Hong Kong),2388.HK,$27.62 B
LG Chem,051910.KS,$27.58 B
Nutrien,NTR,$27.57 B
Monolithic Power Systems,MPWR,$27.36 B
POSCO,PKX,$27.31 B
Ferrovial,FER.MC,$27.31 B
Take 2 Interactive,TTWO,$27.24 B
Legrand,LR.PA,$27.22 B
WEC Energy Group,WEC,$27.21 B
Cellnex Telecom,CLNX.MC,$27.21 B
Xylem,XYL,$27.20 B
Quanta Computer,2382.TW,$27.17 B
Neste,NESTE.HE,$27.16 B
Shanghai Pudong Development Bank,600000.SS,$27.14 B
Fanuc,6954.T,$27.09 B
Brown Forman,BF-A,$27.06 B
Warner Bros. Discovery,WBD,$27.01 B
Powergrid Corporation of India,POWERGRID.NS,$26.99 B
Intact Financial,IFC.TO,$26.93 B
CBRE Group,CBRE,$26.84 B
SBA Communications,SBAC,$26.83 B
HubSpot,HUBS,$26.78 B
Sandvik,SAND.ST,$26.74 B
Aena,AENA.MC,$26.64 B
Roblox,RBLX,$26.63 B
Horizon Therapeutics,HZNP,$26.63 B
Snap,SNAP,$26.61 B
Fubon Financial,2881.TW,$26.60 B
Airports of Thailand,AOT.BK,$26.50 B
Sumitomo,8053.T,$26.49 B
Marubeni,8002.T,$26.46 B
The People's Insurance Company (PICC),601319.SS,$26.43 B
MongoDB,MDB,$26.42 B
DSM-Firmenich,DSFIR.AS,$26.35 B
Tesco,TSCDF,$26.35 B
Keysight,KEYS,$26.28 B
S.F. Express,002352.SZ,$26.15 B
Haier Smart Home,600690.SS,$26.11 B
Klabin,KLBN11.SA,$26.09 B
Cardinal Health,CAH,$26.09 B
Cloudflare,NET,$26.04 B
