company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
"Akero Therapeutics, Inc.",31.7,NAS:AKRO,,,,,
"Akeso, Inc.",35.3,HKG:9926,,,,,
"Akoustis Technologies, Inc.",23.7,NAS:AKTS,,,,,
"Akoya Biosciences, Inc.",31.8,NAS:AKYA,,,,,
Aksa Akrilik Kimya Sanayii AS,11.4,IST:AKSA.E,,,,,
Aksa Enerji Üretim AS,37.1,IST:AKSEN.E,,,,,
Aksigorta AS,24.4,IST:AKGRT.E,,,,,
Aktia Bank Plc,18.4,HEL:AKTIA,,,,,
"Akumin, Inc.",26.8,TSE:AKU,,,,,
AKWEL SA,10.5,PAR:AKW,,,,,
Akzo Nobel India Ltd.,31.2,BOM:500710,,,,,
Akzo Nobel NV,18.3,AMS:AKZA,,,,,
Al Ahli Bank of Kuwait KSC,32.2,KUW:ABK,,,,,
Al Dawaa Medical Services Co.,19.5,SAU:4163,,,,,
Al Hammadi Holding,33.2,SAU:4007,,,,,
Al Jouf Cement Co.,46.1,SAU:3091,,,,,
Al Moammar Information Systems Co.,27.2,SAU:7200,,,,,
Al Rajhi Bank,25.3,SAU:1120,,,Al Rajhi Bank,1120.SR,$93.37 B
Al Rajhi Co. for Cooperative Insurance,35.4,SAU:8230,,,,,
Al Yah Satellite Communications Co. PJSC,23.0,ADS:YAHSAT,,,,,
Al-Jouf Agricultural Development Co.,47.4,SAU:6070,,,,,
Alabama Power Co.,42.1,-,,,,,
ALAFCO Aviation Lease & Finance Co.,30.8,KUW:ALAFCO,,,,,
"Alamo Group, Inc.",22.3,NYS:ALG,,,,,
"Alamos Gold, Inc.",34.7,TSE:AGI,,,,,
Alarko Holding AS,37.0,IST:ALARK.E,,,,,
"Alarm.com Holdings, Inc.",24.4,NAS:ALRM,,,,,
"Alaska Air Group, Inc.",25.6,NYS:ALK,,,,,
Albany International Corp.,18.8,NYS:AIN,,,,,
Albaraka Türk Katilim Bankasi AS,27.5,IST:ALBRK.E,,,,,
Albemarle Corp.,26.8,NYS:ALB,,,,,
Alberta Capital Finance Authority,19.4,-,,,,,
Alberta PowerLine LP,45.7,-,,,,,
"Albertsons Cos., Inc.",32.6,NYS:ACI,,,,,
Alchip Technologies Ltd.,33.8,TAI:3661,,,,,
Alcoa Corp.,26.7,NYS:AA,,,,,
Alcon AG,24.9,SWX:ALC,,,,,
ALCONIX Corp.,50.1,TKS:3036,,,,,
ALD SA,15.7,PAR:ALD,,,,,
Aldar Investment Properties LLC,9.5,-,,,,,
Aldar Properties PJSC,15.9,ADS:ALDAR,,,,,
"Aldeyra Therapeutics, Inc.",29.3,NAS:ALDX,,,,,
Aldrees Petroleum & Transport Services Co.,46.5,SAU:4200,,,,,
Aleatica SAB de CV,11.9,MEX:ALEATIC,,,,,
"Alector, Inc.",29.7,NAS:ALEC,,,,,
